ANYO_ACADEMICO;COD_PROV;NOM_PROV;COD_MUN;NOM_MUN;COD_CENTRO;NOM_CENTRO;COD_FAMILIA;NOM_FAMILIA;COD_GRADO;NOM_GRADO;COD_CICLO;NOM_CICLO;COD_CURSO;CURSO;COD_TURNO;NOM_TURNO;NUM_GRUPOS;NUM_ALUMNOS
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000424;CENTRE PRIVAT SALESIANOS JUAN XXIII;001;ADMINISTRACIÓN Y GESTIÓN;GM;GRADO MEDIO;472103;GESTIÓN ADMINISTRATIVA (LOE);1CFM;PRIMERO;4;MATUTINO;1;21
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000424;CENTRE PRIVAT SALESIANOS JUAN XXIII;001;ADMINISTRACIÓN Y GESTIÓN;GM;GRADO MEDIO;472103;GESTIÓN ADMINISTRATIVA (LOE);2CFM;SEGUNDO;-1;OTROS;1;12
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000424;CENTRE PRIVAT SALESIANOS JUAN XXIII;020;COMERCIO Y MARKETING;FPB;FP BÁSICA;96310A;SERVICIOS COMERCIALES;1CFB;PRIMERO;-1;OTROS;1;2
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000424;CENTRE PRIVAT SALESIANOS JUAN XXIII;020;COMERCIO Y MARKETING;FPB;FP BÁSICA;96310A;SERVICIOS COMERCIALES;1CFB;PRIMERO;2;VESPERTINO;1;17
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000424;CENTRE PRIVAT SALESIANOS JUAN XXIII;020;COMERCIO Y MARKETING;FPB;FP BÁSICA;96310A;SERVICIOS COMERCIALES;2CFB;SEGUNDO;-1;OTROS;1;15
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000424;CENTRE PRIVAT SALESIANOS JUAN XXIII;020;COMERCIO Y MARKETING;GM;GRADO MEDIO;925103;ACTIVIDADES COMERCIALES;1CFM;PRIMERO;-1;OTROS;1;3
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000424;CENTRE PRIVAT SALESIANOS JUAN XXIII;020;COMERCIO Y MARKETING;GM;GRADO MEDIO;925103;ACTIVIDADES COMERCIALES;1CFM;PRIMERO;4;MATUTINO;1;21
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000424;CENTRE PRIVAT SALESIANOS JUAN XXIII;020;COMERCIO Y MARKETING;GM;GRADO MEDIO;925103;ACTIVIDADES COMERCIALES;2CFM;SEGUNDO;-1;OTROS;1;13
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000424;CENTRE PRIVAT SALESIANOS JUAN XXIII;031;ELECTRICIDAD Y ELECTRÓNICA;GM;GRADO MEDIO;830103;INSTALACIONES DE TELECOMUNICACIONES;1CFM;PRIMERO;-1;OTROS;1;5
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000424;CENTRE PRIVAT SALESIANOS JUAN XXIII;031;ELECTRICIDAD Y ELECTRÓNICA;GM;GRADO MEDIO;830103;INSTALACIONES DE TELECOMUNICACIONES;1CFM;PRIMERO;4;MATUTINO;1;26
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000424;CENTRE PRIVAT SALESIANOS JUAN XXIII;031;ELECTRICIDAD Y ELECTRÓNICA;GM;GRADO MEDIO;830103;INSTALACIONES DE TELECOMUNICACIONES;2CFM;SEGUNDO;-1;OTROS;1;19
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000424;CENTRE PRIVAT SALESIANOS JUAN XXIII;031;ELECTRICIDAD Y ELECTRÓNICA;GM;GRADO MEDIO;830103;INSTALACIONES DE TELECOMUNICACIONES;2CFM;SEGUNDO;4;MATUTINO;1;2
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000424;CENTRE PRIVAT SALESIANOS JUAN XXIII;190;INFORMÁTICA Y COMUNICACIONES;FPB;FP BÁSICA;95810A;INFORMÁTICA Y COMUNICACIONES;1CFB;PRIMERO;-1;OTROS;1;2
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000424;CENTRE PRIVAT SALESIANOS JUAN XXIII;190;INFORMÁTICA Y COMUNICACIONES;FPB;FP BÁSICA;95810A;INFORMÁTICA Y COMUNICACIONES;1CFB;PRIMERO;4;MATUTINO;1;16
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000424;CENTRE PRIVAT SALESIANOS JUAN XXIII;190;INFORMÁTICA Y COMUNICACIONES;FPB;FP BÁSICA;95810A;INFORMÁTICA Y COMUNICACIONES;2CFB;SEGUNDO;-1;OTROS;1;13
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000424;CENTRE PRIVAT SALESIANOS JUAN XXIII;190;INFORMÁTICA Y COMUNICACIONES;FPB;FP BÁSICA;95810A;INFORMÁTICA Y COMUNICACIONES;2CFB;SEGUNDO;4;MATUTINO;1;1
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000424;CENTRE PRIVAT SALESIANOS JUAN XXIII;192;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;FPB;FP BÁSICA;95910A;MANTENIMIENTO DE VEHÍCULOS;1CFB;PRIMERO;4;MATUTINO;1;14
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000424;CENTRE PRIVAT SALESIANOS JUAN XXIII;192;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;FPB;FP BÁSICA;95910A;MANTENIMIENTO DE VEHÍCULOS;2CFB;SEGUNDO;-1;OTROS;1;8
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000424;CENTRE PRIVAT SALESIANOS JUAN XXIII;192;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;GM;GRADO MEDIO;839103;ELECTROMECÁNICA DE VEHÍCULOS AUTOMÓVILES (LOE);1CFM;PRIMERO;-1;OTROS;1;5
