ANYO_ACADEMICO;COD_PROV;NOM_PROV;COD_MUN;NOM_MUN;COD_CONSER;NOM_CONSER;COD_GRADO;DESC_GRADO;CURSO;ESPECIALIDAD;MATRICULADOS
2022-2023;12;CASTELLÓN/CASTELLÓ;12040;CASTELLÓ DE LA PLANA;12008338;CONSERVATORI PROFESSIONAL DE DANSA;P;ENSEÑANZA PROFESIONAL DANZA;5º ENSEÑANZA PROFESIONAL DANZA;DANZA CLÁSICA;7
2022-2023;12;CASTELLÓN/CASTELLÓ;12040;CASTELLÓ DE LA PLANA;12008338;CONSERVATORI PROFESSIONAL DE DANSA;P;ENSEÑANZA PROFESIONAL DANZA;5º ENSEÑANZA PROFESIONAL DANZA;DANZA CONTEMPORÁNEA;9
2022-2023;12;CASTELLÓN/CASTELLÓ;12040;CASTELLÓ DE LA PLANA;12008338;CONSERVATORI PROFESSIONAL DE DANSA;P;ENSEÑANZA PROFESIONAL DANZA;6º ENSEÑANZA PROFESIONAL DANZA;DANZA CONTEMPORÁNEA;2
2022-2023;12;CASTELLÓN/CASTELLÓ;12084;ONDA;12005271;CENTRE ELEMENTAL DE DANSA DE LA UNIÓN M. STA.CECILIA DE ONDA;E;ENSEÑANZA ELEMENTAL DANZA;1º ENSEÑANZA ELEMENTAL DANZA;ENSEÑANZA ELEMENTAL DANZA;11
2022-2023;12;CASTELLÓN/CASTELLÓ;12084;ONDA;12005271;CENTRE ELEMENTAL DE DANSA DE LA UNIÓN M. STA.CECILIA DE ONDA;E;ENSEÑANZA ELEMENTAL DANZA;2º ENSEÑANZA ELEMENTAL DANZA;ENSEÑANZA ELEMENTAL DANZA;5
2022-2023;12;CASTELLÓN/CASTELLÓ;12084;ONDA;12005271;CENTRE ELEMENTAL DE DANSA DE LA UNIÓN M. STA.CECILIA DE ONDA;E;ENSEÑANZA ELEMENTAL DANZA;3º ENSEÑANZA ELEMENTAL DANZA;ENSEÑANZA ELEMENTAL DANZA;10
2022-2023;12;CASTELLÓN/CASTELLÓ;12084;ONDA;12005271;CENTRE ELEMENTAL DE DANSA DE LA UNIÓN M. STA.CECILIA DE ONDA;E;ENSEÑANZA ELEMENTAL DANZA;4º ENSEÑANZA ELEMENTAL DANZA;ENSEÑANZA ELEMENTAL DANZA;13
2022-2023;46;VALENCIA/VALÈNCIA;46017;ALZIRA;46019490;CENTRE ELEMENTAL DE DANSA PASO A DOS;E;ENSEÑANZA ELEMENTAL DANZA;1º ENSEÑANZA ELEMENTAL DANZA;ENSEÑANZA ELEMENTAL DANZA;1
2022-2023;46;VALENCIA/VALÈNCIA;46017;ALZIRA;46019490;CENTRE ELEMENTAL DE DANSA PASO A DOS;E;ENSEÑANZA ELEMENTAL DANZA;2º ENSEÑANZA ELEMENTAL DANZA;ENSEÑANZA ELEMENTAL DANZA;6
2022-2023;46;VALENCIA/VALÈNCIA;46017;ALZIRA;46019490;CENTRE ELEMENTAL DE DANSA PASO A DOS;E;ENSEÑANZA ELEMENTAL DANZA;4º ENSEÑANZA ELEMENTAL DANZA;ENSEÑANZA ELEMENTAL DANZA;2
2022-2023;46;VALENCIA/VALÈNCIA;46029;ALGEMESÍ;46020467;CENTRE ENS. PROFESSIONALS DE DANSA JUAN BAUTISTA CABANILLES;E;ENSEÑANZA ELEMENTAL DANZA;1º ENSEÑANZA ELEMENTAL DANZA;ENSEÑANZA ELEMENTAL DANZA;10
2022-2023;46;VALENCIA/VALÈNCIA;46029;ALGEMESÍ;46020467;CENTRE ENS. PROFESSIONALS DE DANSA JUAN BAUTISTA CABANILLES;E;ENSEÑANZA ELEMENTAL DANZA;2º ENSEÑANZA ELEMENTAL DANZA;ENSEÑANZA ELEMENTAL DANZA;6
